id,symbol,symbolName,slug,contract
0,CA,CatSanta,CA,0xa069e83a21a3efbbab57dbe122b86f659803f766
1,CRTX,Cortex,CRTX,0x9733ffeeaf975193d574ac05465048d787eaca31
2,MANE,METAANIME,MANE,0x3f9931d502cb290b6c51d8c7ebd689d011c47afc
3,LBAR,LunaBar,LBAR,0xb2000682bed0bd8b259907d2030575cfed827e69
4,MMN,MetaMoon,MMN,0x1e803d93f8ffb4ec3f61c734e1f930f1d54eb1a4
5,BYND,BeyondSwap,BYND,0x25d4a4589be3809dd42b1b9305d764fca24e110c
6,MMN,MetaMoon,MMN,0x803583556144a8179e596592533013b98d66156f
7,ZOMBIEQC,ZombieApocalypse,ZOMBIEQC,0x936232470c65a9c5e383d2f261570e311cb5cb87
8,FROG,Froggy,FROG,0x944f26e35159cc99b1d12d62911722b803ec8047
9,LION,LionSwap,LION,0xb7acb2c33627e3f681067a8d5acbcb9d35444350
